valid_ppl,test_ppl,epoch,total_flos,step,num_params,num_non_embedding_params,canary_exposure,canary_rank,canary_ppl
58.88811932998135,60.55396323715927,0.059085841694537344,80532992950272,53,163043328,85056000,4.007985737595016,62155,166.9418157698695
29.644521940972613,30.148815880136347,0.11817168338907469,161065985900544,106,163043328,85056000,7.117186380372601,7203,98.95148161903042
22.921353560342542,23.22739170044409,0.17725752508361203,241598978850816,159,163043328,85056000,9.896769606746906,1049,60.984168626371755
15.656948531540078,15.819587944481194,0.23634336677814938,322131971801088,212,163043328,85056000,18.346606068603016,3,37.16864508294287
13.759782817880037,13.817374062806017,0.2954292084726867,402664964751360,265,163043328,85056000,18.931568569324174,2,25.314688839138913
12.598330401476813,12.695543324466373,0.35451505016722407,483197957701632,318,163043328,85056000,18.931568569324174,2,24.852294458969443
11.784668045654131,11.85238711506966,0.4136008918617614,563730950651904,371,163043328,85056000,18.931568569324174,2,20.74059218187329
11.142636322775582,11.165690655416297,0.47268673355629875,644263943602176,424,163043328,85056000,19.931568569324174,1,16.764251892896272
10.87306745040357,10.923890048818302,0.5317725752508361,724796936552448,477,163043328,85056000,19.931568569324174,1,10.402375369269016
10.232885090085446,10.292808986750382,0.5908584169453734,805329929502720,530,163043328,85056000,19.931568569324174,1,9.094830121124637
10.196085693221391,10.2660644640213,0.6499442586399108,885862922452992,583,163043328,85056000,19.931568569324174,1,10.480021960231966
9.87454491751682,9.932801049437119,0.7090301003344481,966395915403264,636,163043328,85056000,19.931568569324174,1,8.50465237723139
