valid_ppl,test_ppl,epoch,eps_rdp_opacus,alpha_rdp_opacus,eps_gdp,mu_gdp,eps_rdp,alpha_rdp,eps_low,eps_estimate,eps_upper,med_clip,max_clip,min_clip,snr,signal,noise,noise_limit,total_flos,step,num_params,num_non_embedding_params,canary_exposure_0,canary_exposure_1,canary_exposure_2,canary_exposure_3,canary_exposure_4,canary_exposure_5,canary_exposure_6,canary_exposure_7,canary_exposure_8,canary_exposure_9,canary_rank_0,canary_rank_1,canary_rank_2,canary_rank_3,canary_rank_4,canary_rank_5,canary_rank_6,canary_rank_7,canary_rank_8,canary_rank_9,canary_ppl_0,canary_ppl_1,canary_ppl_2,canary_ppl_3,canary_ppl_4,canary_ppl_5,canary_ppl_6,canary_ppl_7,canary_ppl_8,canary_ppl_9
20.471009554160485,20.07508022769667,3.867061812023709,0.4423331776626399,61.0,0.3114077787555636,0.07970388994918336,0.3521574078377562,52.0,0.27283685397123264,0.3228525826637264,0.37286831110883223,,,,0.000414461684172964,5.771485805511475,13925.2578125,13925.514406173828,6937061230116864,16,163037184,85056000,1.5344287630885702,5.15492992225059,0.09333255848216737,0.23399009117542846,0.21328153691342067,1.6434189391079101,3.7225912558357592,3.441940089793448,4.712173132714918,0.4991693991962123,345216,28068,937355,850280,862573,320097,75751,92018,38150,707514,282.1921264932452,186.91619457791828,1805.3469563856775,972.0805645555449,1080.7467789749285,276.01157073910906,215.34810719436808,221.49603567520776,195.30669167622057,583.581917509765
20.471009554160485,20.07508022769667,3.867061812023709,0.4423331776626399,61.0,0.3114077787555636,0.07970388994918336,0.3521574078377562,52.0,0.27283685397123264,0.3228525826637264,0.37286831110883223,,,,0.000414461684172964,5.771485805511475,13925.2578125,13925.514406173828,6937061230116864,16,163037184,85056000,1.5344287630885702,5.15492992225059,0.09333255848216737,0.23399009117542846,0.21328153691342067,1.6434189391079101,3.7225912558357592,3.441940089793448,4.712173132714918,0.4991693991962123,345216,28068,937355,850280,862573,320097,75751,92018,38150,707514,282.1921264932452,186.91619457791828,1805.3469563856775,972.0805645555449,1080.7467789749285,276.01157073910906,215.34810719436808,221.49603567520776,195.30669167622057,583.581917509765
20.480315624104033,20.083380086479277,7.867061812023708,0.618917580216341,45.0,0.45106841919277924,0.11271832214002774,0.5029750895772055,39.0,0.4130130069617956,0.4630368450300877,0.5130606825301396,,,,0.0003704644957130204,5.158220291137695,13923.65625,13925.514406173828,14111916805324800,32,163037184,85056000,1.5731620388860996,5.17892658864487,0.09217099608061474,0.2343702086240107,0.21385366187422505,1.594661084152449,3.7489996318276226,3.4768355298156877,4.768312008938151,0.5045688440273111,336071,27605,938110,850056,862231,331100,74377,89819,36694,704871,280.5641270343015,186.85695945138005,1822.3773037943445,974.1293418344233,1081.6444361900499,279.3287563314286,215.269036395885,221.2009873303192,194.6616965270439,585.1591893584607
20.486308844726175,20.08868956835386,11.867061812023708,0.7551603203608824,37.0,0.5603874908347446,0.13805118695286397,0.6208547821579483,32.0,0.5226519956677652,0.5726830013327238,0.6227140060363606,,,,0.00034672180037179974,4.82804012298584,13924.82421875,13925.514406173828,21286772380532736,48,163037184,85056000,1.5784045098999648,5.1095455247650055,0.09093046520947468,0.23407153648363987,0.2143239110070958,1.6190135043129672,3.7684496247193273,3.4271530068874263,4.762857282114606,0.5047837688335868,334852,28965,938917,850232,861950,325558,73381,92966,36833,704766,280.4848158382536,188.03241839597504,1839.85358254979,979.2263388712829,1082.894477627464,278.20235591881607,214.80667972923192,222.2943198938551,194.68419941051826,587.2804226165305
20.493499299956543,20.09371021010413,15.867061812023708,0.8706480067938513,32.0,0.653794458898334,0.1594077798983667,0.7214413703444579,29.0,0.616145161526959,0.6661802701197453,0.7162153774799619,,,,0.0003299854844538064,4.594865798950195,13924.4482421875,13925.514406173828,28461627955740672,64,163037184,85056000,1.6842575734130136,5.0929555251272,0.08990594871178459,0.2345908584375742,0.21467544284876539,1.6483535807906868,3.749756315523072,3.525579532486777,4.705194009931091,0.5060657949659593,311163,29300,939584,849926,861740,319004,74338,86835,38335,704140,276.44346592271245,189.19926882676126,1861.818339963469,983.5898884564314,1088.876392877888,278.2955853437064,216.46970033072736,221.36359568491548,196.73686136708102,592.0559784816388
20.500286119302654,20.100672151385492,19.86706181202371,0.972638796551518,29.0,0.7369464164558182,0.17822331599753624,0.8107763496806624,26.0,0.6993827186506073,0.7494217862326024,0.7994608522883812,,,,0.00030994780270490616,4.316152095794678,13925.416015625,13925.514406173828,35636483530948608,80,163037184,85056000,1.740403300859132,5.142238709231741,0.0889742245211167,0.234848891792641,0.21620476588313764,1.6745767412446106,3.6379173132600506,3.4845014908481637,4.629250946538109,0.49775291711043224,299286,28316,940191,849774,860827,313258,80330,89343,40407,708209,277.3084308069605,190.44837580840073,1898.493654286093,997.8806341830059,1096.7410150413587,280.62042762273506,221.7554565338471,225.16012234766976,200.7146073706043,603.9017310361979
20.503842913658303,20.105371923733966,23.86706181202371,1.0651541412368573,27.0,0.8127678758420235,0.19523386089044392,0.8922712156997608,24.0,0.7752955656356385,0.825338682811058,0.8753817981274671,,,,0.0002950124254062072,4.1079840660095215,13924.783203125,13925.514406173828,42811339106156544,96,163037184,85056000,1.7649200007295391,5.149542992598034,0.08994740676746815,0.23517829089270492,0.21643438803734227,1.6748807331770905,3.6226429946877623,3.4749574697492527,4.662405355613023,0.49913677389176314,294243,28173,939557,849580,860690,313192,81185,89936,39489,707530,278.67296809245124,191.53162223563535,1915.2685645837555,1007.0228464456076,1109.147793878222,283.2130229028334,223.8178261446796,227.19101612708454,201.43383589152103,609.1923425880617
20.510739939664397,20.110457158325836,27.86706181202371,1.1505276992900644,25.0,0.8830066291815816,0.21087667132999974,0.967786979726744,22.0,0.8456182003200063,0.8956655894128661,0.9457129762601064,,,,0.000270075679413974,3.7607626914978027,13924.84765625,13925.514406173828,49986194681364480,112,163037184,85056000,1.802099390714183,5.162350573197667,0.09103802787753068,0.23391374037455748,0.21647964634997052,1.6331032004346149,3.6129551517643037,3.630268872041352,4.659996117851094,0.5130056091495412,286757,27924,938847,850325,860663,322394,81732,80757,39555,700761,276.9884788518932,190.9071502814256,1907.7760773851842,1013.7245780898239,1108.7094894829647,285.5233285101086,223.73463639863547,223.34692829689916,201.07525235709448,603.1232219435672
20.51705159807881,20.11595137077655,31.86706181202371,1.2304513207874597,24.0,0.9488070083192945,0.22543664428005547,1.0383387035323999,21.0,0.9114378707991437,0.9614872282775263,1.0115709913658504,,,,0.0002875836021858422,4.004703044891357,13925.3525390625,13925.514406173828,57161050256572416,128,163037184,85056000,1.821411550370108,5.092266347423699,0.09064469479330839,0.2345127784917267,0.21600869414067603,1.5879404091753067,3.5921360733273957,3.62909028709279,4.661820928416784,0.5266931143089622,282944,29314,939103,849972,860944,332646,82920,80823,39505,694144,276.6777352337548,192.2943445528147,1917.577106168931,1013.9562409936763,1114.9111971672214,288.7273734886495,224.42877665750976,223.5747905098237,201.06842500718776,598.3728139195586
20.521698867531633,20.120927965167,35.86706181202371,1.3053903611404465,22.0,1.0109671170043115,0.23911166984755008,1.1050549599906647,20.0,0.973665804186144,1.0237189292200954,1.0737720514319278,,,,0.0002677744288092819,3.7289845943450928,13925.8427734375,13925.514406173828,64335905831780352,144,163037184,85056000,1.8401073558829673,5.0524640001766095,0.09124549281562722,0.23578974629945648,0.2173146654807816,1.5862326312965926,3.7111902416289446,3.6261124032717156,4.672892129324147,0.5330357032628541,279301,30134,938712,849220,860165,333040,76352,80990,39203,691099,275.31656221258913,192.55853701972686,1913.7341989177755,1007.1295734198317,1107.2112628622942,288.26460288539147,221.1018613082761,223.0902109829851,200.17012164050584,595.2013096994301
