valid_ppl,test_ppl,epoch,total_flos,step,num_params,num_non_embedding_params,canary_exposure,canary_rank,canary_ppl
22.51027646905662,21.81235554694636,0.8864265927977839,1458683636613120,960,163038720,85056000,0.34838294057942676,785464,1041.5680664027113
40.32630446725043,39.001525475515784,0.05909510618651893,97245575774208,64,163038720,85056000,0.8413760136504038,558111,354.62350447219694
27.67357638371497,27.295641902110525,0.11819021237303785,194491151548416,128,163038720,85056000,0.6802479753770676,624058,413.6314086962487
24.744666282981786,24.239973053086683,0.1772853185595568,291736727322624,192,163038720,85056000,0.42453275735698526,745080,607.7067740610913
24.240341886197,23.691543164034446,0.2363804247460757,388982303096832,256,163038720,85056000,0.37945863048662787,768726,771.4466569535712
24.280505208604083,23.842914310624174,0.29547553093259465,486227878871040,320,163038720,85056000,0.36151091182069095,778349,779.8394423022434
23.48902516818438,22.624693022266996,0.3545706371191136,583473454645248,384,163038720,85056000,0.34972070909939035,784736,939.442232610442
23.177702153993323,22.45233184451606,0.4136657433056325,680719030419456,448,163038720,85056000,0.3374244156306716,791453,948.6045332480285
22.98761417312332,22.28019475376597,0.4727608494921514,777964606193664,512,163038720,85056000,0.3016428163164022,811328,1238.860948033685
22.927591104439152,22.174632276923987,0.5318559556786704,875210181967872,576,163038720,85056000,0.3106632627803201,806271,970.1534944906728
22.80877096828973,22.18848070341696,0.5909510618651893,972455757742080,640,163038720,85056000,0.3299609810977344,795558,944.6375312334167
22.663034358504774,22.015593821154237,0.6500461680517082,1069701333516288,704,163038720,85056000,0.41184978216518076,751659,758.1199456865851
22.656213512024557,21.951702764568036,0.7091412742382271,1166946909290496,768,163038720,85056000,0.3876210776390181,764389,705.5511797335503
22.533665457485327,21.91949612696091,0.7682363804247461,1264192485064704,832,163038720,85056000,0.3681991072197519,774749,823.3585932876136
22.65053805006796,21.974324551388676,0.827331486611265,1361438060838912,896,163038720,85056000,0.3850357928983108,765760,949.19078308908
22.51027646905662,21.81235554694636,0.8864265927977839,1458683636613120,960,163038720,85056000,0.34838294057942676,785464,1041.5680664027113
22.522319422214117,21.828504267875076,0.9455216989843028,1555929212387328,1024,163038720,85056000,0.3371346126064445,791612,912.3767728405635
22.529325380705373,21.84486442404181,1.0046168051708217,1652415057100800,1088,163038720,85056000,0.3540272564139606,782397,1100.982722228369
22.687280181751827,21.97510667277453,1.0637119113573408,1749660632875008,1152,163038720,85056000,0.3539848463609694,782420,974.7577666600872
22.73453413778729,22.031087498332596,1.1228070175438596,1846906208649216,1216,163038720,85056000,0.3667250416297172,775541,1014.9297921553659
22.887250907416455,22.177019879921836,1.1819021237303786,1944151784423424,1280,163038720,85056000,0.3500277623143333,784569,1046.7899205689203
22.814630400913533,22.092963778967526,1.2409972299168974,2041397360197632,1344,163038720,85056000,0.3590626206539831,779671,1293.9939240165409
22.567160700675238,21.847381129380707,1.3000923361034165,2138642935971840,1408,163038720,85056000,0.47601658765382737,718960,911.6209239999806
22.772481017320782,22.012269074768554,1.3591874422899353,2235888511746048,1472,163038720,85056000,0.4875586850058937,713231,927.4056676213102
22.655943563348885,21.907413614601577,1.4182825484764543,2333134087520256,1536,163038720,85056000,0.5005852322861841,706820,876.0032692754023
22.679106954796385,21.958684459051668,1.4773776546629733,2430379663294464,1600,163038720,85056000,0.44830779361718953,732902,939.0923096276492
22.640985944154597,21.957017876930365,1.5364727608494921,2527625239068672,1664,163038720,85056000,0.41895733213784325,747965,859.5326602181716
22.80978393619287,22.051193532557438,1.595567867036011,2624870814842880,1728,163038720,85056000,0.413795392807387,750646,892.526510519284
22.665660951780204,21.888088196583116,1.65466297322253,2722116390617088,1792,163038720,85056000,0.43303291446105163,740703,782.6890432520466
22.66722920435389,21.936608974667916,1.713758079409049,2819361966391296,1856,163038720,85056000,0.4236345958882417,745544,801.9234458526922
22.52574566456121,21.795295451113347,1.7728531855955678,2916607542165504,1920,163038720,85056000,0.44933176092012417,732382,779.0538267701919
22.727796726486893,21.991311577683653,1.8319482917820868,3013853117939712,1984,163038720,85056000,0.38464585673438734,765967,937.2290979734695
22.532351933090233,21.838883833769444,1.8910433979686059,3111098693713920,2048,163038720,85056000,0.38350114601079,766575,992.2323653315891
22.563447274409885,21.861743694256656,1.9501385041551247,3208344269488128,2112,163038720,85056000,0.3935047081990888,761278,1004.9441052648953
22.829305801321194,22.110465371382215,2.0092336103416435,3304830114201600,2176,163038720,85056000,0.41579174501360683,749608,955.3120643494667
22.964270140578574,22.21894086482083,2.0683287165281623,3402075689975808,2240,163038720,85056000,0.44599472904709003,734078,1032.1907459204904
23.077896293909266,22.341894115418693,2.1274238227146816,3499321265750016,2304,163038720,85056000,0.4526923250272006,730678,1097.378784179348
23.068403209939394,22.339039308130594,2.1865189289012004,3596566841524224,2368,163038720,85056000,0.4753525421333116,719291,927.4812168683985
23.212069355887422,22.488287552418317,2.245614035087719,3693812417298432,2432,163038720,85056000,0.5175894954725564,698538,725.726847077621
23.03652112539847,22.342316763356425,2.3047091412742384,3791057993072640,2496,163038720,85056000,0.45216326656169414,730946,730.0908902087745
23.116207625678168,22.355307677824825,2.3638042474607572,3888303568846848,2560,163038720,85056000,0.44918205880493645,732458,779.4087656028622
23.100995615808426,22.364191631249042,2.422899353647276,3985549144621056,2624,163038720,85056000,0.47980608624720844,717074,735.9179007446921
23.03313278421832,22.32086739464127,2.481994459833795,4082794720395264,2688,163038720,85056000,0.45837216789475477,727807,729.6866874755068
23.144771707236846,22.41316280318713,2.541089566020314,4180040296169472,2752,163038720,85056000,0.3932583667264886,761408,786.7180191193428
