valid_ppl,test_ppl,epoch,total_flos,step,num_params,num_non_embedding_params,canary_exposure_0,canary_exposure_1,canary_exposure_2,canary_exposure_3,canary_exposure_4,canary_exposure_5,canary_exposure_6,canary_exposure_7,canary_exposure_8,canary_exposure_9,canary_rank_0,canary_rank_1,canary_rank_2,canary_rank_3,canary_rank_4,canary_rank_5,canary_rank_6,canary_rank_7,canary_rank_8,canary_rank_9,canary_ppl_0,canary_ppl_1,canary_ppl_2,canary_ppl_3,canary_ppl_4,canary_ppl_5,canary_ppl_6,canary_ppl_7,canary_ppl_8,canary_ppl_9
20.423685485176367,20.01485021428542,1.955969517358171,3509175974363136,2310,163037184,85056000,1.6385954476878304,5.630000927267652,0.2792715016264502,0.22113205656991752,0.3506107916518886,2.011651966200244,3.7574621233788754,3.8410219174831433,5.0213006135133345,1.3208428751318344,321169,20193,824007,857892,784252,247989,73942,69781,30792,400301,238.60262560535628,156.16549559513555,663.8123639107723,872.4264335415909,562.8791690355466,224.7137715704045,186.02183378642323,184.48487532906452,165.03428001756768,257.5273182024491
23.394834203274737,22.81379780766524,0.05927180355630821,106361687900160,70,163037184,85056000,0.4091192165911437,4.2989708948779874,0.04286544736649134,0.1665933404255533,0.23163864490277675,1.7453237269023276,4.3907745643671365,1.3636199188652363,3.853313500278322,1.093435682722653,753083,50802,970725,890944,851667,298267,47670,388606,69189,468644,434.1209449787803,241.92600719064873,1272.835855760019,931.2751403713506,783.0563203010057,311.9444325096277,239.35974271442544,327.61127165662816,253.75207830651337,341.75872813201755
22.520136200802185,22.030829198935255,0.11854360711261643,212723375800320,140,163037184,85056000,0.36091234506418246,4.299624205763044,0.03840778536907763,0.1596278123762005,0.23617373686974474,1.139938249422464,3.7914377932343264,2.145643624393589,4.08035634467371,1.0339092040582294,778672,50779,973729,895256,848994,453779,72221,225994,59114,488385,551.6984840123964,279.35662863556,1773.0448229004476,1260.8230204840477,1006.3892964553115,411.0200792432113,299.137488801873,359.1984182651555,287.9921636267784,418.9525363549758
22.21317407768371,21.64801408818017,0.17781541066892464,319085063700480,210,163037184,85056000,0.4368184351472628,4.055291452373373,0.0793408314587758,0.16166940109744488,0.26182362729119646,1.1220516280507802,3.8941074109102267,2.16596519339927,4.2486014093946345,0.80589024831513,738762,60150,946490,893990,834033,459440,67260,222833,52607,572009,607.7434078292799,330.49810517939414,1871.8875525061462,1495.564288868667,1057.4604666384591,487.2605081620481,337.7499263549176,417.6558285757868,321.4763137910437,522.4608266647984
21.909391823903245,21.384281299153805,0.23708721422523285,425446751600640,280,163037184,85056000,0.8998189128978815,4.424393350817569,0.0989767375094317,0.16047731704637158,0.2627510883486295,0.9973133196526867,4.5245332166854055,2.5718790539233893,3.9269969541565146,0.5430298816350785,535954,46572,933695,894729,833497,500932,43449,168185,65744,686328,483.82782890540034,300.37079232647795,1758.8534067038986,1480.9178975563736,1033.6285507058444,472.5630686481917,296.61926221982554,372.5374159653284,319.09577311112315,547.2490410365249
21.718879807694996,21.17231624297449,0.29635901778154106,531808439500800,350,163037184,85056000,0.9429892752032565,4.788265082064273,0.08138173167839824,0.16621447675459322,0.27089886976191835,0.6378477214705534,3.9376129892608382,2.6429547870331938,4.349779540582359,0.538634892361447,520154,36190,945152,891178,828803,642671,65262,160100,49044,688422,448.58810641228854,267.48335131296926,1723.7558177846947,1347.3054343120104,907.8134657162174,495.5389206789975,295.94843379141287,341.6822593880346,281.93978858007057,518.7103910012263
21.63800702074863,21.05316929848626,0.3556308213378493,638170127400960,420,163037184,85056000,1.426276476646926,4.864050177054047,0.0677437604399529,0.15713055578742896,0.2395916750550775,0.6626451305627334,3.44905994489935,2.8049044228227835,4.075824085003443,0.7221770815910631,372090,34338,954129,896807,846985,631719,91565,143100,59300,606182,454.645539530397,299.16687405831846,2198.5431233463696,1673.3107106144694,1278.8790281356844,569.9105217747544,350.6627918827531,375.11043042502286,327.6897151128494,556.1642131282072
21.393354454103346,20.838705674264187,0.41490262489415747,744531815301120,490,163037184,85056000,1.386536240210905,5.230912116406007,0.1521040856326792,0.14213840526486266,0.24045211328940397,0.7269425036065691,3.4206190087126735,2.598981252201227,4.487847968667596,0.7704071554936149,382482,26628,899937,906175,846480,604183,93388,165055,44568,586252,431.73686644526043,268.5523615982681,1492.0929754887543,1533.86748090033,1126.4174055647247,521.5175021486933,331.5254502469149,362.3665853112029,292.8502054882542,512.8391967479247
21.27026077584839,20.740408031214752,0.4741744284504657,850893503201280,560,163037184,85056000,1.6657337952026552,4.646925178693435,0.17126769312043777,0.1667018368096258,0.242915290871057,0.9023757203053577,3.4730498106454064,2.7379373360168877,4.267315746150128,0.6994334287047259,315184,39915,888062,890877,845036,535005,90055,149899,51929,615814,413.0047264750149,284.2692844344173,1516.8845491893853,1537.6396520252563,1182.0566901071468,501.45265202927783,326.9198688199444,355.3789768250141,298.13656335399827,542.6881341867133
21.15794816865936,20.658628602529458,0.5334462320067739,957255191101440,630,163037184,85056000,1.3683015288348521,5.159821203996769,0.16945421867002608,0.1642747646463576,0.2438562972222229,0.9815937127691186,3.6960404417671455,2.6265310753682236,4.055891200892043,0.6087183918159589,387347,27973,889179,892377,844485,506420,77158,161933,60125,655779,540.440154908342,326.7535921039562,1905.036942068869,1934.1245759926774,1465.735856039379,607.6371590833456,391.40555410298606,442.2175173777646,375.17961345840564,710.4810864890492
