valid_ppl,test_ppl,epoch,eps_rdp_opacus,alpha_rdp_opacus,eps_gdp,mu_gdp,eps_rdp,alpha_rdp,eps_low,eps_estimate,eps_upper,med_clip,max_clip,min_clip,snr,signal,noise,noise_limit,total_flos,step,num_params,num_non_embedding_params,canary_exposure,canary_rank,canary_ppl
28.1468302799999,27.23118266048827,119.8670618120237,2.4097665111259223,13.0,1.94258794655861,0.43655618446077016,2.1030079196385456,12.0,1.9056414766232426,1.9557365224077938,2.005831559159503,,,,0.0003655845959801357,5.09161376953125,13927.3203125,13925.580003294757,215009208305713152,480,163038720,85056000,0.5044665101339767,704921,751.2360948043167
45.974507236638146,44.55417051670032,3.867061812023709,0.4423331776626399,61.0,0.3114077787555636,0.07970388994918336,0.3521574078377562,52.0,0.27283685397123264,0.3228525826637264,0.37286831110883223,,,,0.001314146631581819,18.299911499023438,13925.3193359375,13925.580003294757,6937104315580416,16,163038720,85056000,0.34430379767589514,787688,1028.3536902706342
40.95121443903921,39.42542528529646,7.867061812023708,0.618917580216341,45.0,0.45106841919277924,0.11271832214002774,0.5029750895772055,39.0,0.4130130069617956,0.4630368450300877,0.5130606825301396,,,,0.0011686326068929128,16.27171516418457,13923.7216796875,13925.580003294757,14112004453171200,32,163038720,85056000,0.3621449591876491,778007,838.4226106096353
37.496425280395954,36.049550066164656,11.867061812023708,0.7551603203608824,37.0,0.5603874908347446,0.13805118695286397,0.6208547821579483,32.0,0.5226519956677652,0.5726830013327238,0.6227140060363606,,,,0.0010031859401921426,13.969254493713379,13924.890625,13925.580003294757,21286904590761984,48,163038720,85056000,0.3992278649866634,758264,756.570471374818
35.372595097766435,34.03435496424294,15.867061812023708,0.8706480067938513,32.0,0.653794458898334,0.1594077798983667,0.7214413703444579,29.0,0.616145161526959,0.6661802701197453,0.7162153774799619,,,,0.0008576139184580578,11.941859245300293,13924.5166015625,13925.580003294757,28461804728352768,64,163038720,85056000,0.4162229196850724,749384,753.9519507209363
33.92110557986418,32.677974787878554,19.86706181202371,0.972638796551518,29.0,0.7369464164558182,0.17822331599753624,0.8107763496806624,26.0,0.6993827186506073,0.7494217862326024,0.7994608522883812,,,,0.0008039865064776285,11.195899963378906,13925.482421875,13925.580003294757,35636704865943552,80,163038720,85056000,0.40651618913040366,754443,754.2333815311513
32.923956505448814,31.749255299884275,23.86706181202371,1.0651541412368573,27.0,0.8127678758420235,0.19523386089044392,0.8922712156997608,24.0,0.7752955656356385,0.825338682811058,0.8753817981274671,,,,0.0007455148176199867,10.381181716918945,13924.849609375,13925.580003294757,42811605003534336,96,163038720,85056000,0.39131374640625793,762435,760.141235074219
32.12484391198253,30.99047188207112,27.86706181202371,1.1505276992900644,25.0,0.8830066291815816,0.21087667132999974,0.967786979726744,22.0,0.8456182003200063,0.8956655894128661,0.9457129762601064,,,,0.0007091168505064868,9.874387741088867,13924.9091796875,13925.580003294757,49986505141125120,112,163038720,85056000,0.3963026865477879,759803,752.613298083823
31.51088292286085,30.396426204451792,31.86706181202371,1.2304513207874597,24.0,0.9488070083192945,0.22543664428005547,1.0383387035323999,21.0,0.9114378707991437,0.9614872282775263,1.0115709913658504,,,,0.000677035181477197,9.427998542785645,13925.4189453125,13925.580003294757,57161405278715904,128,163038720,85056000,0.42105549199256487,746878,718.7322664911162
30.925995898380076,29.85044992473731,35.86706181202371,1.3053903611404465,22.0,1.0109671170043115,0.23911166984755008,1.1050549599906647,20.0,0.973665804186144,1.0237189292200954,1.0737720514319278,,,,0.0006370577494900641,8.87160587310791,13925.9052734375,13925.580003294757,64336305416306688,144,163038720,85056000,0.4044810628603024,755508,772.5943880387277
30.42170806898006,29.39079060590415,39.86706181202371,1.3764998550104504,21.0,1.0700700950323903,0.2520458306148216,1.1684494546067947,19.0,1.0328107354063447,1.0828668938454493,1.132923049130961,,,,0.0006279797805874284,8.744974136352539,13925.56640625,13925.580003294757,71511205553897472,160,163038720,85056000,0.4325674802743684,740942,744.9365536898423
30.055847464993803,29.042706373301062,43.86706181202371,1.4444375383521186,20.0,1.1265575265412375,0.2643478972932201,1.2291519791217111,18.0,1.0893288416971663,1.1393874307848748,1.1894460164401033,,,,0.0005864599878278991,8.166600227355957,13925.2470703125,13925.580003294757,78686105691488256,176,163038720,85056000,0.41627682558089063,749356,774.1156790527891
29.81200177798217,28.811789756827718,47.86706181202371,1.5096471205087023,20.0,1.180773423533829,0.27610237390572795,1.2876660854333695,18.0,1.1435640651132875,1.1936245898302016,1.2436851108840963,,,,0.0005710442917703007,7.951857566833496,13925.115234375,13925.580003294757,85861005829079040,192,163038720,85056000,0.4154684485560196,749776,789.0755565381282
29.55386394031014,28.568691404645268,51.86706181202371,1.571667095613919,19.0,1.232992040233668,0.2873764620657195,1.3431267475421866,17.0,1.1958132619300603,1.2458763366293037,1.2959394073503807,,,,0.0005561973438139162,7.745161533355713,13925.2041015625,13925.580003294757,93035905966669824,208,163038720,85056000,0.39544469536889437,760255,812.2425974084274
29.318205822390187,28.354606366062832,55.86706181202371,1.6318745800081738,18.0,1.2834362436894253,0.2982246485829792,1.3976760699575723,16.0,1.2462784892672802,1.2963436883827697,1.3464244844764273,,,,0.0005320308151863201,7.4084153175354,13924.7861328125,13925.580003294757,100210806104260608,224,163038720,85056000,0.38263944686945806,767033,825.8423055957315
