valid_ppl,test_ppl,epoch,eps_rdp_opacus,alpha_rdp_opacus,eps_gdp,mu_gdp,eps_rdp,alpha_rdp,eps_low,eps_estimate,eps_upper,med_clip,max_clip,min_clip,snr,signal,noise,noise_limit,total_flos,step,num_params,num_non_embedding_params,canary_exposure,canary_rank,canary_ppl
28.19150517957537,27.34985555858127,43.95665171898356,1.5192803470774585,19.0,1.1883259180317618,0.2777358096004276,1.2963229021362195,17.0,1.1515694175501496,1.201646982558652,1.2517088504887264,,,,0.00046249062516422114,6.050573348999023,13082.5859375,13082.898931897316,89332421941002240,220,163037184,85056000,1.9608054438756213,256885,337.3742273420635
28.91815754241413,27.922194943302944,3.9566517189835575,0.46458516718680737,58.0,0.32829027890970736,0.08374049739001868,0.37090763279307204,50.0,0.29053217662195563,0.34055074117856593,0.39056930539053974,,,,0.0015545660370717596,20.337074279785156,13082.1552734375,13082.898931897316,8041703331594240,20,163037184,85056000,1.0219801408273348,492440,311.58854847420525
28.56785769528713,27.637884899488384,7.956651718983558,0.6502860136554431,43.0,0.4755529026256519,0.11842694712883318,0.5298895172173472,37.0,0.43811870840078737,0.4881455438746266,0.5381723786283423,,,,0.001062040662204358,13.89603042602539,13084.2734375,13082.898931897316,16170775192535040,40,163037184,85056000,1.2190247765878475,429573,323.6522903711183
28.4312992704642,27.5095581888768,11.956651718983558,0.7936313497460787,35.0,0.5908473212589557,0.1450427961306013,0.6541106441943071,31.0,0.5535288633293658,0.6035606848201404,0.6535925052983398,,,,0.0008565631481363495,11.205670356750488,13082.1298828125,13082.898931897316,24299847053475840,60,163037184,85056000,1.3398672702442305,395057,333.84310290126496
28.331818754054268,27.42521045779452,15.956651718983558,0.9149832700228007,31.0,0.6893777422943106,0.16748099478003736,0.7601955148294748,27.0,0.652218811373218,0.7022561369658135,0.7522934611652612,,,,0.0007147149472131761,9.350025177001953,13082.173828125,13082.898931897316,32428918914416640,80,163037184,85056000,1.3281740384367993,398272,345.26875664326724
28.283550356164596,27.3868088681412,19.956651718983558,1.0223645964980719,28.0,0.7771046118533651,0.18724944463372548,0.8545257629884538,25.0,0.7400561957868408,0.7900983712433046,0.8401405449210744,,,,0.000619876060488824,8.10977554321289,13082.8984375,13082.898931897316,40557990775357440,100,163037184,85056000,1.5692522822170822,336983,338.14046079662023
28.233709864579705,27.366723089730026,23.956651718983558,1.1198769953460115,26.0,0.8571091344407207,0.20512148941241223,0.940461202129281,23.0,0.8201182821869739,0.8701637315019216,0.9202091787513231,,,,0.0005697768349147813,7.453781604766846,13081.931640625,13082.898931897316,48687062636298240,120,163037184,85056000,1.6742589999701671,313327,336.6517123435025
28.20345330846638,27.34598615100583,27.956651718983558,1.209658134236303,24.0,0.931232688315302,0.22155653075884285,1.02014042126922,21.0,0.8943006535349916,0.9443495163100137,0.994398376697582,,,,0.0006162339803748407,8.062032699584961,13082.74609375,13082.898931897316,56816134497239040,140,163037184,85056000,1.8271336187734235,281824,331.03263541838464
28.195516640460745,27.37134458271167,31.956651718983558,1.2938813682414738,22.0,1.00068084805192,0.23685389425766637,1.094561756102855,20.0,0.9638111944895447,1.0138636732118282,1.0639161491802405,,,,0.0004919193634298371,6.435583591461182,13082.5986328125,13082.898931897316,64945206358179840,160,163037184,85056000,1.8111534850198474,284963,337.72660150362435
28.193348054504096,27.37015627462538,35.95665171898356,1.3726941871609972,21.0,1.0662944125087852,0.25122149217005607,1.1649510038390476,19.0,1.0294627343720855,1.0795179764412057,1.1295732154588087,,,,0.00047230314416104327,6.17905855178833,13082.8232421875,13082.898931897316,73074278219120640,180,163037184,85056000,1.9064614576649603,266746,334.3142226109837
28.195105368800043,27.361368536580407,39.95665171898356,1.4476234290315029,20.0,1.128687705567987,0.2648107041478445,1.2319423282724877,18.0,1.091901631829667,1.1419600050972223,1.1920183749575384,,,,0.0005078107900186096,6.644137859344482,13083.884765625,13082.898931897316,81203350080061440,200,163037184,85056000,2.0147735620423717,247453,338.29365809287003
28.19150517957537,27.34985555858127,43.95665171898356,1.5192803470774585,19.0,1.1883259180317618,0.2777358096004276,1.2963229021362195,17.0,1.1515694175501496,1.201646982558652,1.2517088504887264,,,,0.00046249062516422114,6.050573348999023,13082.5859375,13082.898931897316,89332421941002240,220,163037184,85056000,1.9608054438756213,256885,337.3742273420635
28.199381476536157,27.34967022136105,47.95665171898356,1.5876214364180141,19.0,1.2455714471914305,0.2900855922612026,1.3572823519619832,17.0,1.2088526420064019,1.258916433561277,1.3089802210470496,,,,0.000477904583945011,6.252381801605225,13082.908203125,13082.898931897316,97461493801943040,240,163037184,85056000,1.9959833628200911,250697,342.3318270608839
28.22078349203886,27.370629767289042,51.95665171898356,1.6530562657976808,18.0,1.300713200655071,0.30193065717257067,1.416370584562742,16.0,1.2640206356467825,1.3140868374333274,1.3641530348374862,,,,0.00043483342910844753,5.688720226287842,13082.52734375,13082.898931897316,105590565662883840,260,163037184,85056000,1.8612746376303555,275233,358.5289346659647
28.226584043931553,27.36269105363954,55.95665171898356,1.716901707433459,17.0,1.353985950435685,0.31332825063148734,1.4736563012282813,16.0,1.3173250896896815,1.3673941596515655,1.4174632248431196,,,,0.00041472046950644077,5.426223278045654,13084.0498046875,13082.898931897316,113719637523824640,280,163037184,85056000,1.876317913463435,272378,359.3310199357973
