valid_ppl,test_ppl,epoch,total_flos,step,num_params,num_non_embedding_params,canary_exposure,canary_rank,canary_ppl
20.467135749687454,20.065104993555863,1.955969517358171,3509175974363136,2310,163037184,85056000,19.931568569324174,1,4.233521570924351
23.479242519844686,22.828455496843045,0.05927180355630821,106361687900160,70,163037184,85056000,3.731589561708276,75280,196.5294012774771
22.652369271520524,22.133253358302987,0.11854360711261643,212723375800320,140,163037184,85056000,6.21282165942311,13482,127.35565828956751
22.27573345186157,21.677182978849498,0.17781541066892464,319085063700480,210,163037184,85056000,6.570447234589386,10522,127.17431228634453
21.967863374119446,21.44672271455243,0.23708721422523285,425446751600640,280,163037184,85056000,10.143666009932742,884,87.04491299422966
21.727566038665383,21.224945560653676,0.29635901778154106,531808439500800,350,163037184,85056000,18.931568569324174,2,58.02993807333088
21.733097344654446,21.1328287324667,0.3556308213378493,638170127400960,420,163037184,85056000,19.931568569324174,1,41.282700036852226
21.48554516637163,20.90337791257712,0.41490262489415747,744531815301120,490,163037184,85056000,19.931568569324174,1,43.01524547590547
21.31595530548926,20.763257532751158,0.4741744284504657,850893503201280,560,163037184,85056000,19.931568569324174,1,28.550606879910188
21.162676378309232,20.642360886204038,0.5334462320067739,957255191101440,630,163037184,85056000,19.931568569324174,1,25.797531541392296
21.146129682907,20.68303562428268,0.5927180355630821,1063616879001600,700,163037184,85056000,19.931568569324174,1,17.077618786036428
21.074106516660606,20.542028171953614,0.6519898391193903,1169978566901760,770,163037184,85056000,19.931568569324174,1,13.02272966287697
20.993214149873154,20.43464389920985,0.7112616426756986,1276340254801920,840,163037184,85056000,19.931568569324174,1,8.0815420855183
20.93888544521885,20.414972489339092,0.7705334462320068,1382701942702080,910,163037184,85056000,19.931568569324174,1,6.381238084036801
20.886393063277506,20.378369771854025,0.8298052497883149,1489063630602240,980,163037184,85056000,19.931568569324174,1,5.287721330005674
20.765952163892376,20.27767247215114,0.8890770533446232,1595425318502400,1050,163037184,85056000,19.931568569324174,1,5.1896118133378115
20.709470885740263,20.211021948139212,0.9483488569009314,1701787006402560,1120,163037184,85056000,19.931568569324174,1,5.13622320760906
20.759541257945877,20.23867174317945,1.0076206604572395,1807388967960576,1190,163037184,85056000,19.931568569324174,1,5.255927751098099
20.776296056277296,20.26359016120425,1.0668924640135478,1913750655860736,1260,163037184,85056000,19.931568569324174,1,4.581179090786364
20.699656607579122,20.228762932984043,1.126164267569856,2020112343760896,1330,163037184,85056000,19.931568569324174,1,5.225188642324689
20.75192563857882,20.295157406608386,1.1854360711261642,2126474031661056,1400,163037184,85056000,19.931568569324174,1,5.311348751640768
20.70815131415434,20.261557117649872,1.2447078746824725,2232835719561216,1470,163037184,85056000,19.931568569324174,1,5.011332721854592
20.720464282741847,20.24277350447101,1.3039796782387807,2339197407461376,1540,163037184,85056000,19.931568569324174,1,4.923100198680105
20.64156246930056,20.199338827875234,1.363251481795089,2445559095361536,1610,163037184,85056000,19.931568569324174,1,5.213363558015323
20.681539798637395,20.213622943578958,1.4225232853513972,2551920783261696,1680,163037184,85056000,19.931568569324174,1,5.1821721855685565
20.653936469112583,20.22634517318725,1.4817950889077054,2658282471161856,1750,163037184,85056000,19.931568569324174,1,4.516967689126582
20.580159153681063,20.12955965770179,1.5410668924640136,2764644159062016,1820,163037184,85056000,19.931568569324174,1,4.664715605566442
20.651755490530686,20.23426033121664,1.6003386960203216,2871005846962176,1890,163037184,85056000,19.931568569324174,1,4.6072833208487065
20.611123865735596,20.16075471230168,1.65961049957663,2977367534862336,1960,163037184,85056000,19.931568569324174,1,4.517624562623452
20.606225236151317,20.198281412160416,1.718882303132938,3083729222762496,2030,163037184,85056000,19.931568569324174,1,4.547355980966355
20.557649393165224,20.1351249722183,1.7781541066892466,3190090910662656,2100,163037184,85056000,19.931568569324174,1,4.888205657989634
20.488845883845094,20.065282238462142,1.8374259102455546,3296452598562816,2170,163037184,85056000,19.931568569324174,1,4.252649814891554
20.520679515566997,20.093403417879454,1.8966977138018628,3402814286462976,2240,163037184,85056000,19.931568569324174,1,4.216383736507008
20.467135749687454,20.065104993555863,1.955969517358171,3509175974363136,2310,163037184,85056000,19.931568569324174,1,4.233521570924351
20.659636385574373,20.264041200965465,2.015241320914479,3614777935921152,2380,163037184,85056000,19.931568569324174,1,4.250477914387608
20.75853374266352,20.35344799443431,2.0745131244707875,3721139623821312,2450,163037184,85056000,19.931568569324174,1,4.274646477314309
20.75469208351326,20.347233702664347,2.1337849280270955,3827501311721472,2520,163037184,85056000,19.931568569324174,1,4.240382155119103
20.65457804846522,20.28677538343305,2.193056731583404,3933862999621632,2590,163037184,85056000,19.931568569324174,1,4.368897217926343
20.69844889842533,20.34572513522046,2.252328535139712,4040224687521792,2660,163037184,85056000,19.931568569324174,1,4.451384478938056
20.78433052990023,20.415565576906317,2.3116003386960204,4146586375421952,2730,163037184,85056000,19.931568569324174,1,4.551198021826402
20.723875732736417,20.362835460355555,2.3708721422523285,4252948063322112,2800,163037184,85056000,19.931568569324174,1,4.528749213637367
20.735815834704194,20.333658119309206,2.430143945808637,4359309751222272,2870,163037184,85056000,19.931568569324174,1,4.521414849546402
20.747160752282536,20.393382431270297,2.489415749364945,4465671439122432,2940,163037184,85056000,19.931568569324174,1,4.272823039115772
20.83796701198472,20.46396759906331,2.548687552921253,4572033127022592,3010,163037184,85056000,19.931568569324174,1,4.229701928411262
20.913968239188915,20.525526026041653,2.6079593564775614,4678394814922752,3080,163037184,85056000,19.931568569324174,1,4.4275338519941645
